Date,Time,SiteCode,Location,Timezone,Parameter,Unit,Value,Agency
03/03/20,08:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,13.0,South Coast AQMD
03/03/20,08:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,1.0,South Coast AQMD
03/03/20,09:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,13.0,South Coast AQMD
03/03/20,09:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,3.0,South Coast AQMD
03/03/20,10:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,9.0,South Coast AQMD
03/03/20,10:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,3.0,South Coast AQMD
03/03/20,11:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,11.0,South Coast AQMD
03/03/20,11:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,4.0,South Coast AQMD
03/03/20,13:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,24.0,South Coast AQMD
03/03/20,13:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,9.0,South Coast AQMD
03/03/20,08:00,060374004,South Long Beach,-8,PM2.5,UG/M3,11.2,South Coast AQMD
03/03/20,09:00,060374004,South Long Beach,-8,PM2.5,UG/M3,11.7,South Coast AQMD
03/03/20,10:00,060374004,South Long Beach,-8,PM2.5,UG/M3,9.3,South Coast AQMD
03/03/20,11:00,060374004,South Long Beach,-8,PM2.5,UG/M3,7.3,South Coast AQMD
03/03/20,13:00,060374004,South Long Beach,-8,PM2.5,UG/M3,4.9,South Coast AQMD
