Date,PM2.5,PM10
01/02/14,13.125,35.75
01/02/15,27.4,48.4
01/02/17,7.75625,18.75
01/02/18,58.675,90.0
01/02/19,17.788888888888888,27.0
01/02/20,17.033333333333335,34.333333333333336
01/02/24,15.3,20.875
01/03/14,14.875,41.0
01/03/17,14.6,23.5
01/03/18,24.428571428571427,37.714285714285715
01/03/20,20.807142857142857,29.0
01/03/22,12.057142857142859,22.714285714285715
01/03/23,4.7,6.5
01/03/24,5.25,9.0
01/04/16,17.875,36.75
01/04/17,20.59375,26.375
01/04/21,22.4,42.0
01/04/22,15.625,25.75
01/04/24,3.1642857142857146,4.428571428571429
01/05/15,14.857142857142858,33.714285714285715
01/05/16,15.5,31.125
01/05/17,10.01875,13.0
01/05/21,17.35,32.0
01/05/22,27.049999999999997,33.75
01/06/14,8.375,29.5
01/06/15,7.384615384615385,
01/06/16,4.625,17.75
01/06/17,9.625,25.125
01/06/20,19.835714285714285,27.0
01/06/21,27.675,38.0
01/06/22,14.1,16.5
01/06/23,9.025,20.75
01/07/15,15.3125,25.125
01/07/16,4.25,12.0
01/07/19,5.8,12.0
01/07/20,6.8625,19.5
01/07/21,11.15,33.0
01/08/14,22.5,53.875
01/08/15,20.0,36.0
01/08/16,9.5,13.125
01/08/18,29.45,45.0
01/08/20,10.549999999999999,26.875
01/09/14,40.0,61.375
01/09/17,12.71875,11.166666666666666
01/09/18,6.133333333333333,3.5
01/09/20,12.5,29.857142857142858
01/09/23,11.87142857142857,23.642857142857142
01/10/14,45.375,69.75
01/10/17,10.86875,21.0
01/10/20,13.814285714285715,25.428571428571427
01/10/23,-0.21250000000000008,2.875
01/10/24,13.2875,21.75
01/11/16,25.125,46.75
01/11/17,3.6266666666666665,8.0
01/11/18,20.2,38.0
01/11/19,29.05,27.0
01/11/21,21.066666666666666,37.333333333333336
01/11/22,8.8,19.0
01/11/23,9.54375,24.0
01/11/24,7.716666666666668,23.166666666666668
01/12/16,22.857142857142858,23.375
01/12/17,6.85,11.0
01/12/18,29.0,47.0
01/12/21,17.275,28.0
01/12/23,11.126666666666667,26.0625
01/12/24,11.360000000000001,20.3
