Date,Time,SiteCode,Location,Timezone,Unit,Agency,PM2.5,PM10,Datetime,Week,Month,PM2.5_Weekly_Avg,PM10_Weekly_Avg,PM2.5_Monthly_Avg,PM10_Monthly_Avg
12/22/21,08:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,,24.0,2021-12-22 08:00:00,51,12,,43.5,,43.5
12/22/21,13:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,,39.0,2021-12-22 13:00:00,51,12,,43.5,,43.5
12/22/21,14:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,,52.0,2021-12-22 14:00:00,51,12,,43.5,,43.5
12/22/21,15:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,,59.0,2021-12-22 15:00:00,51,12,,43.5,,43.5
01/03/22,08:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,,25.0,2022-01-03 08:00:00,1,1,,22.866666666666667,,21.482758620689655
01/03/22,09:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,,30.0,2022-01-03 09:00:00,1,1,,22.866666666666667,,21.482758620689655
01/03/22,10:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,,24.0,2022-01-03 10:00:00,1,1,,22.866666666666667,,21.482758620689655
01/03/22,11:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,,20.0,2022-01-03 11:00:00,1,1,,22.866666666666667,,21.482758620689655
01/03/22,12:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,,18.0,2022-01-03 12:00:00,1,1,,22.866666666666667,,21.482758620689655
01/03/22,13:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,,39.0,2022-01-03 13:00:00,1,1,,22.866666666666667,,21.482758620689655
01/03/22,14:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,,33.0,2022-01-03 14:00:00,1,1,,22.866666666666667,,21.482758620689655
01/04/22,08:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,,25.0,2022-01-04 08:00:00,1,1,,22.866666666666667,,21.482758620689655
01/04/22,12:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,,21.0,2022-01-04 12:00:00,1,1,,22.866666666666667,,21.482758620689655
01/05/22,09:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,,35.0,2022-01-05 09:00:00,1,1,,22.866666666666667,,21.482758620689655
01/05/22,12:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,,30.0,2022-01-05 12:00:00,1,1,,22.866666666666667,,21.482758620689655
01/06/22,11:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,,14.0,2022-01-06 11:00:00,1,1,,22.866666666666667,,21.482758620689655
01/06/22,12:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,,10.0,2022-01-06 12:00:00,1,1,,22.866666666666667,,21.482758620689655
01/06/22,13:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,,10.0,2022-01-06 13:00:00,1,1,,22.866666666666667,,21.482758620689655
01/06/22,14:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,,9.0,2022-01-06 14:00:00,1,1,,22.866666666666667,,21.482758620689655
01/11/22,09:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,,21.0,2022-01-11 09:00:00,2,1,,31.0,,21.482758620689655
01/13/22,09:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,,41.0,2022-01-13 09:00:00,2,1,,31.0,,21.482758620689655
01/17/22,15:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,,20.0,2022-01-17 15:00:00,3,1,,15.88888888888889,,21.482758620689655
01/18/22,08:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,,14.0,2022-01-18 08:00:00,3,1,,15.88888888888889,,21.482758620689655
01/18/22,09:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,,13.0,2022-01-18 09:00:00,3,1,,15.88888888888889,,21.482758620689655
01/18/22,10:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,,19.0,2022-01-18 10:00:00,3,1,,15.88888888888889,,21.482758620689655
01/18/22,11:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,,14.0,2022-01-18 11:00:00,3,1,,15.88888888888889,,21.482758620689655
01/18/22,12:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,,6.0,2022-01-18 12:00:00,3,1,,15.88888888888889,,21.482758620689655
01/18/22,13:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,,9.0,2022-01-18 13:00:00,3,1,,15.88888888888889,,21.482758620689655
01/18/22,14:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,,12.0,2022-01-18 14:00:00,3,1,,15.88888888888889,,21.482758620689655
01/19/22,15:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,,36.0,2022-01-19 15:00:00,3,1,,15.88888888888889,,21.482758620689655
01/25/22,13:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,,17.0,2022-01-25 13:00:00,4,1,,25.0,,21.482758620689655
01/25/22,14:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,,24.0,2022-01-25 14:00:00,4,1,,25.0,,21.482758620689655
01/27/22,08:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,,34.0,2022-01-27 08:00:00,4,1,,25.0,,21.482758620689655
02/03/22,14:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,,47.0,2022-02-03 14:00:00,5,2,,47.0,14.8375,38.19230769230769
02/07/22,11:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,,31.0,2022-02-07 11:00:00,6,2,16.46,44.294117647058826,14.8375,38.19230769230769
02/07/22,13:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,,30.0,2022-02-07 13:00:00,6,2,16.46,44.294117647058826,14.8375,38.19230769230769
02/07/22,14:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,,43.0,2022-02-07 14:00:00,6,2,16.46,44.294117647058826,14.8375,38.19230769230769
