School,Street Address,Street Zip,Latitude,Longitude
YouthBuild Charter School of California,"611 Wilshire Blvd., Ste. 303",90017-4806,34.050103,-118.260519
YouthBuild Charter School of California Central,"155 West Washington Blvd., Ste. 517",90015-3582,34.031953,-118.266279
Academy of Arts and Sciences: Los Angeles (K-8),17500 Burbank Blvd.,91361-1718,34.172041,-118.514728
"Albert Einstein Academy for Letters, Arts & Sciences - Odyssey",8844 Burton Way,90211-1644,34.071847,-118.385246
"Albert Einstein Academy for Letters, Arts & Sciences - Odyssey",8844 Burton Way,90211-1644,34.071847,-118.385246
SIATech Academy South,255 S. Mednik Ave.,90022-1607,34.033636,-118.162279
Valley Prep 6-8,11251 Glenoaks Blvd.,91331-1621,34.274365,-118.413171
Valley Prep 9-12,14701 Friar St.,91411-2207,34.186082,-118.453497
Valley Prep K-5,11261 Glenoaks Blvd.,91331,34.274999,-118.413104
Bell Tower Trilingual School,3116 West Main St.,91801-1667,34.094189,-118.158667
Brightwood Elementary,1701 Brightwood St.,91754-5100,34.045452,-118.152682
Emery Park Elementary,2821 West Commonwealth Ave.,91803-1099,34.08782,-118.154352
Fremont Elementary,2001 South Elm St.,91803-2905,34.071205,-118.150518
Monterey Highlands Elementary,400 Casuda Canyon Dr.,91754-2204,34.056576,-118.156539
Los Angeles County Online High,"2600 Foothill Blvd., #301",91214-3588,34.221013,-118.235397
Beverly Hills Academy,489 S.Robertson Blvd 206,90211,34.057389,-118.383987
Beverly Hills High,241 Moreno Dr.,90212-3639,34.06208,-118.410577
Beverly Vista Middle,200 South Elm Dr.,90212-4011,34.064979,-118.394806
El Rodeo Elementary,605 North Whittier Dr.,90210-3112,34.067156,-118.414735
Global Citizen Leadership,5901 W Century Blvd,90045-5405,33.946096,-118.386591
Good Shepherd Catholic School,148 South Linden Dr.,90212-2209,34.065345,-118.407692
Harkham Hillel Hebrew Academy,9120 West Olympic Blvd.,90212-3508,34.059083,-118.389992
Hawthorne Elementary,624 North Rexford Dr.,90210-3312,34.077495,-118.403406
Hebrew Day School,142 S. Rexford,90212-3307,34.065594,-118.393539
Horace Mann Elementary,8701 Charleville Blvd.,90211-2805,34.065039,-118.381509
los angeles school of gymnastics,9135 West Olympic Blvd.,90212-3539,34.059649,-118.390999
Moreno High (Continuation),624 N. Rexford Dr.,90210-3312,34.079286,-118.40417
Subject Virtual School,"345 N. Maple Dr., #130",90210-3869,34.074613,-118.393946
ABC Academy,214 E Providencia Ave,91502-1432,34.177411,-118.303511
Bret Harte Elementary,3200 West Jeffries Ave.,91505-1945,34.180969,-118.345971
Brighton Hall,755 N. Whitnall Hwy,91505-2951,34.163888,-118.345624
Burbank Adult,3811 Allan Ave.,91505-1809,34.177693,-118.353039
Burbank High,902 North Third St.,91502-1018,34.188238,-118.315977
Burbank Unified Independent Learning Academy (BUILA),1915 Monterey Ave.,91506-1107,34.186971,-118.33235
Burbank USD Community Day,223 East Santa Anita Ave.,91502-1447,34.178221,-118.304521
Burroughs High,1920 Clark Ave.,91506-1918,34.17046,-118.327144
Dolores Huerta Middle,420 South Mariposa St.,91506-2812,34.165755,-118.317065
Elite Scholars,332 E Valencia Ave,91502-1549,34.177014,-118.298636
George Washington Elementary,2322 North Lincoln St.,91504-2625,34.19819,-118.335614
Horace Mann,3401 Scott Rd.,91504-1736,34.209963,-118.333093
International School of Los Angeles-BB,1105 West Riverside Dr.,91506-3214,34.159779,-118.313148
Joaquin Miller Elementary,720 East Providencia Ave.,91501-2409,34.183316,-118.297403
John Muir Middle,1111 North Kenneth Rd.,91504-4011,34.194992,-118.311246
Joyful Zen Academy LLC,3425 W Olive Ave Unit 259,91505-4771,34.153799,-118.337685
Learning Trajectory,"1405 N San Fernando Blvd, Ste. 302",91504-4284,34.190216,-118.321949
Little Angels Academy Burbank Inc.,721 S. San Fernando Blvd.,91502-1445,34.175852,-118.302404
Luther Burbank Middle,3700 West Jeffries Ave.,91505-1849,34.181076,-118.351476
Magnolia Park,1915 Monterey Ave.,91506-1107,34.186605,-118.332025
Monterey High (Continuation),1915 Monterey Ave.,91506-1107,34.186362,-118.331727
New Generation,3821 W. Victory Blvd.,91505-1402,34.185131,-118.353347
Off Campus Learning Center,3811 Allan Ave.,91505-1809,34.1776,-118.355706
Options for Youth-Burbank Charter,1610 West Burbank Blvd.,91506-1311,34.18182,-118.328937
Providence High School,511 S. Buena Vista St.,91505-4809,34.154408,-118.32683
Providencia Elementary,1919 North Ontario St.,91505-1231,34.188721,-118.34473
R. L. Stevenson Elementary,3333 Oak St.,91505-3514,34.158876,-118.338366
Ralph Emerson Elementary,720 East Cypress Ave.,91501-1812,34.191597,-118.305971
Saint Finbar School,2120 W. Olive Ave.,91506-2624,34.163536,-118.326698
Saint Francis Xavier School,3601 Scott Rd.,91504-1702,34.210865,-118.336271
Scholars Preparatory School,1001 South Glenoaks Blvd.,91502-1585,34.176187,-118.297545
St. Robert Bellarmine Elementary,154 North 5th St.,91501-2107,34.184766,-118.305572
Theodore Roosevelt Elementary,850 North Cordova St.,91505-2923,34.165036,-118.344366
Thomas Edison Elementary,2110 West Chestnut St.,91506-1520,34.178561,-118.333328
Thomas Jefferson Elementary,1900 North Sixth St.,91504-2932,34.198369,-118.321293
Walt Disney Elementary,1220 West Orange Grove Ave.,91506-2016,34.173741,-118.320425
William McKinley Elementary,349 West Valencia Ave.,91506-3309,34.166786,-118.309753
Centinela Valley Adult,4951 Marine Ave.,90260,33.895165,-118.365993
Centinela Valley Independent Study,4951 Marine Ave.,90260-4204,33.895165,-118.365993
Family First Charter,12500 Ramona Ave.,90250-4330,33.919062,-118.356559
Hawthorne High,4859 West El Segundo Blvd.,90250-4204,33.916456,-118.362903
Lawndale High,14901 South Inglewood Ave.,90260-1251,33.896373,-118.361369
Leuzinger High,4118 West Rosecrans Ave.,90260-1601,33.90137,-118.34687
New Opportunities Charter,110 South La Brea Ave.,90301-1768,33.962811,-118.352776
R. K. Lloyde High,4951 Marine Ave.,90260-1251,33.895165,-118.365993
South Bay Academy Community Day,4409 Redondo Beach Blvd.,90260-3717,33.874157,-118.352829
Vistamar School,737 Hawaii St.,90245-4816,33.904665,-118.380576
The Learning Tree,11574 Iowa Ave Unit 106,90025-7108,34.042451,-118.451558
Anderson Elementary,2210 East 130th St.,90222-2110,33.914341,-118.23221
Animo Compton Charter,13305 South San Pedro St.,90061-2254,33.911229,-118.270067
Barack Obama Charter,13305 South San Pedro St.,90061-2254,33.91079,-118.270333
Bunche Middle,12338 Mona Blvd.,90220-1320,33.920727,-118.228291
Bursch Elementary,2505 West 156th St.,90220-2640,33.891251,-118.255734
Caldwell Street Elementary,2300 West Caldwell St.,90220-4116,33.883151,-118.250703
Carver Elementary,1425 East 120th St.,90059-2418,33.923794,-118.250038
Centennial High,2606 North Central Ave.,90222-1640,33.915421,-118.254288
Cesar Chavez Continuation High,15301 San Jose Ave.,90221-3131,33.893596,-118.181862
"Clinton, William Jefferson",6500 Compton Blvd.,90221-3181,33.89534,-118.18284
Compton Academy of Technology and Innovation High,1200 East Alondra Blvd.,90221-4306,33.888212,-118.209702
Compton Adult,1104 East 148th St.,90222,33.898131,-118.254814
Compton Community Day High,2300 West Caldwell St.,90220-4116,33.88322,-118.249644
Compton Community Day Middle,2300 West Caldwell St.,90220-4116,33.88322,-118.249644
Compton Early College High,2601 North Wilmington Ave.,90222-2004,33.915392,-118.240676
Compton High,1200 East Alondra Blvd.,90221-3702,33.8874,-118.210629
Compton Middle Opportunity,"2300 West Caldwell St., Bldg. A",90220-4116,33.88304,-118.249473
Compton Performing Arts Academy,700 N. Bullis Rd,90094-2209,33.900703,-118.206332
Compton STEP,417 West Alondra Blvd.,90220-4638,33.888995,-118.228586
Compton Virtual Academy,2300 West Caldwell St.,90220-4116,33.882911,-118.249247
Davis Middle,621 West Poplar St.,90220-1927,33.900077,-118.234543
Dickison Elementary,905 North Aranbe St.,90220-2023,33.902043,-118.232334
Eko Multi-Purpose Center,403 South Santa Fe Ave.,90224-3243,33.89324,-118.216201
Emerson Elementary,1011 East Caldwell St.,90221-4340,33.884559,-118.211947
Enterprise Middle,2600 West Compton Blvd.,90220-1324,33.895316,-118.25852
Epiphany Academy,302 North Long Beach Blvd.,90221-2869,33.8977,-118.207728
Foster Elementary,1620 North Pannes St.,90221-1734,33.905999,-118.20296
Frances Willard Elementary,310 East El Segundo Blvd.,90222-2315,33.916191,-118.22288
Harriet Tubman High,12501 North Wilmington,90220,33.919243,-118.239629
Ingenium Clarion Charter Middle,13305 South San Pedro St.,90061-2254,33.911229,-118.270067
Ingenium Wings Independent Study - Compton,400 South Santa Fe Ave.,90221-3244,33.893146,-118.215427
